
TDR_alpha10_2s_3by2_alphamax30_eta99_gam7_ic10_confidence30.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,30,30,-1,2,6,0.06302,0.28086,0.28086,0.09858,0.85255,0.03583,0.13682,0.06313,0.00816,0.12867,0.02506,0.03807,0.24568,0.09998,0.55447,0.04848,86.7319385330219,60,120,0.99,0.07,0.1,0.3
0.1,0.2,44,44,-4,5,49,49,0,3,14,0.06193,0.25834,0.25834,0.09502,0.85554,0.03754,0.13697,0.0597,0.00701,0.12996,0.02305,0.03666,0.24727,0.09833,0.55382,0.04721,131.725381190579,88,186,0.99,0.07,0.1,0.3
0.15,0.25,50,50,-5,8,70,70,0,4,24,0.06328,0.2429,0.2429,0.09519,0.8527,0.03704,0.135,0.06179,0.00895,0.12605,0.02899,0.0328,0.27625,0.09839,0.52547,0.04847,166.434600605474,100,240,0.99,0.07,0.1,0.3
0.2,0.3,53,53,-7,11,86,86,3,4,35,0.06331,0.25644,0.25644,0.09646,0.85124,0.05906,0.14953,0.04008,0,0.14953,0,0.04008,0.28445,0.0948,0.50271,0.0496,191.534209907063,106,278,0.99,0.07,0.1,0.3
