
TDR_alpha10_2s_3by2_alphaonly_eta99_gam8_ic20_confidence90.csv
p0,p1,nc1,ne1,a1,m1,nc2,ne2,b1,b2,m2,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,es0,es1,En,N1,N2,etamax,gammax,expicmax,ci
0.05,0.15,30,30,-4,2,19,19,-2,0,5,0.08982,0.42227,0.42227,0.34236,0.85749,0.01469,0.26829,0.07933,0.00158,0.26671,0.00402,0.07531,0.08742,0.17381,0.55447,0.04848,76.9302277375805,60,98,0.99,0.08,0.2,0.9
0.1,0.2,44,44,-4,5,34,34,-3,1,12,0.07752,0.34579,0.34579,0.29547,0.85142,0.02192,0.21914,0.07945,0.00393,0.21521,0.01158,0.06786,0.14952,0.14929,0.55382,0.04721,118.340060417953,88,156,0.99,0.08,0.2,0.9
0.15,0.25,50,50,-5,8,44,44,-14,1,19,0.09224,0.35267,0.35267,0.32024,0.85229,0.02115,0.22159,0.07808,0.00595,0.21564,0.01503,0.06306,0.16069,0.14984,0.52547,0.04847,141.758891809155,100,188,0.99,0.08,0.2,0.9
0.2,0.3,53,53,-7,11,54,54,-7,0,27,0.09934,0.38257,0.38257,0.35606,0.85349,0.017,0.25468,0.0799,0.00415,0.25053,0.00995,0.06995,0.14326,0.16729,0.50271,0.0496,159.707527150946,106,214,0.99,0.08,0.2,0.9
0.25,0.35,62,62,-7,16,60,60,-4,0,37,0.09581,0.37481,0.37481,0.35135,0.85356,0.01856,0.2506,0.07924,0.00302,0.24759,0.00778,0.07146,0.13914,0.16492,0.51443,0.04863,182.267930761043,124,244,0.99,0.08,0.2,0.9
0.3,0.4,65,65,-8,20,68,68,-6,0,47,0.09586,0.37191,0.37191,0.35176,0.85347,0.01741,0.24958,0.0796,0.00372,0.24586,0.00949,0.07011,0.14405,0.16459,0.51051,0.0495,196.571289514338,130,266,0.99,0.08,0.2,0.9
