
TDR_alpha20_1s_3by2_alphamax30_eta99_gam13_ic15_confidence30.csv
p0,p1,nc,ne,r,s,m,alpha,alpha1,alpha2,alphamax,power,beta,eta,gam,eta1,eta2,gam1,gam2,nogo,expic,N,etamax,gammax,expicmax,ci
0.05,0.15,37,37,-6,2,4,0.08726,0.25185,0.25185,0.58967,0.75417,0.11986,0.1411,0.12597,0.02463,0.11646,0.07222,0.05375,0.77165,0.13353,74,0.99,0.13,0.15,0.3
0.1,0.2,62,62,-8,3,9,0.11328,0.24815,0.24815,0.49535,0.79741,0.07407,0.16209,0.12852,0.05009,0.112,0.09877,0.02975,0.72463,0.14531,124,0.99,0.13,0.15,0.3
0.15,0.25,86,86,-11,4,17,0.0989,0.2328,0.2328,0.50104,0.80233,0.06954,0.16823,0.12812,0.04041,0.12782,0.09364,0.03448,0.73286,0.14818,172,0.99,0.13,0.15,0.3
0.05,0.2,22,22,-5,2,3,0.0711,0.1923,0.23003,0.57143,0.76713,0.12003,0.09071,0.11285,0.02373,0.06698,0.07838,0.03447,0.8382,0.10178,44,0.99,0.13,0.15,0.3
0.1,0.25,27,27,-6,2,5,0.09948,0.22188,0.26322,0.56349,0.76962,0.10225,0.17137,0.12813,0.02708,0.1443,0.07206,0.05607,0.72915,0.14975,54,0.99,0.13,0.15,0.3
0.15,0.3,40,40,-8,3,9,0.09643,0.2006,0.23291,0.48757,0.79558,0.07632,0.1579,0.1281,0.03897,0.11893,0.09341,0.03469,0.74567,0.143,80,0.99,0.13,0.15,0.3
0.2,0.35,49,49,-9,3,13,0.1213,0.23467,0.26697,0.51122,0.83936,0.05119,0.18712,0.10945,0.04513,0.14199,0.08145,0.028,0.69158,0.14828,98,0.99,0.13,0.15,0.3
0.25,0.4,56,56,-10,4,18,0.09782,0.19444,0.22309,0.47027,0.81261,0.05995,0.1672,0.12744,0.04283,0.12437,0.0982,0.02924,0.73498,0.14732,112,0.99,0.13,0.15,0.3
0.3,0.45,61,61,-11,4,22,0.12419,0.21924,0.24351,0.47843,0.83835,0.04257,0.18073,0.11907,0.06041,0.12032,0.09988,0.01919,0.69508,0.1499,122,0.99,0.13,0.15,0.3
0.35,0.5,66,66,-12,4,27,0.13044,0.23016,0.25515,0.46802,0.85445,0.03621,0.18994,0.10933,0.05889,0.13105,0.09111,0.01822,0.67961,0.14964,132,0.99,0.13,0.15,0.3
0.4,0.55,70,70,-12,5,33,0.09314,0.18226,0.20741,0.46286,0.82244,0.04973,0.16892,0.12782,0.04326,0.12565,0.10249,0.02534,0.73794,0.14837,140,0.99,0.13,0.15,0.3
0.45,0.6,71,71,-12,5,37,0.09515,0.18413,0.20881,0.49072,0.82766,0.04638,0.17261,0.12596,0.04381,0.1288,0.10162,0.02434,0.73223,0.14928,142,0.99,0.13,0.15,0.3
0.5,0.65,72,72,-12,5,41,0.09811,0.18612,0.20924,0.4631,0.83744,0.04033,0.17484,0.12223,0.04627,0.12857,0.10107,0.02116,0.72704,0.14854,144,0.99,0.13,0.15,0.3
0.55,0.7,69,69,-12,4,42,0.13544,0.23312,0.25559,0.49281,0.87424,0.02545,0.19934,0.1003,0.06009,0.13925,0.08616,0.01414,0.66521,0.14982,138,0.99,0.13,0.15,0.3
0.6,0.75,67,67,-11,4,44,0.13852,0.22963,0.24817,0.47403,0.87857,0.02102,0.19768,0.10041,0.06761,0.13007,0.08961,0.01079,0.66379,0.14904,134,0.99,0.13,0.15,0.3
0.65,0.8,63,63,-10,4,45,0.11931,0.20938,0.22903,0.49986,0.87279,0.02313,0.19262,0.10408,0.0553,0.13731,0.09105,0.01303,0.68806,0.14835,126,0.99,0.13,0.15,0.3
0.7,0.85,57,57,-9,4,44,0.10083,0.18337,0.20148,0.50571,0.86124,0.02498,0.18392,0.11378,0.04769,0.13624,0.09938,0.0144,0.71524,0.14885,114,0.99,0.13,0.15,0.3
0.05,0.25,12,12,-4,1,2,0.10632,0.25251,0.34162,0.76284,0.80862,0.08992,0.19645,0.10146,0.01204,0.18441,0.03299,0.06847,0.69723,0.14896,24,0.99,0.13,0.15,0.3
0.1,0.3,18,18,-5,2,4,0.07727,0.17088,0.23838,0.59378,0.76462,0.11059,0.13913,0.12479,0.02093,0.1182,0.07082,0.05397,0.7836,0.13196,36,0.99,0.13,0.15,0.3
0.15,0.35,20,20,-6,2,5,0.12502,0.21435,0.27044,0.5141,0.79112,0.08226,0.17039,0.12662,0.04513,0.12526,0.09068,0.03594,0.70459,0.1485,40,0.99,0.13,0.15,0.3
